n_multisubunit_complexes,n_ligandcomplex_pairs_with_multiple_subunit_axes,ligand,complex,n_subunits,subunits,is_multisubunit,ligand_passes_corrected,n_types_enriched_min_rule,types_enriched_min_rule,n_types_enriched_anysubunit,complex_survives_min_rule,complex_survives_anysubunit,n_subunit_axes_surviving_published,n_types_enriched_geomean,complex_survives_geomean,inflated_vs_complex_min_rule
102,98,IGF2,ITGAV_ITGB3,2.0,ITGAV;ITGB3,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,IL16,CD4,1.0,CD4,0.0,0.0,4.0,KIRC;KIRP;STAD;THCA,4.0,False,False,0.0,4.0,False,False
102,98,IL17B,IL17RB,1.0,IL17RB,0.0,0.0,2.0,COAD;STAD,2.0,False,False,0.0,2.0,False,False
102,98,INHBA,ACVR1B_ACVR2A,2.0,ACVR1B;ACVR2A,1.0,0.0,0.0,,3.0,False,False,0.0,2.0,False,False
102,98,INHBA,ACVR1B_ACVR2B,2.0,ACVR1B;ACVR2B,1.0,0.0,0.0,,3.0,False,False,0.0,2.0,False,False
102,98,INHBA,ACVR1C_ACVR2A,2.0,ACVR1C;ACVR2A,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,INHBA,ACVR1C_ACVR2B,2.0,ACVR1C;ACVR2B,1.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,INHBA,ACVR2A,1.0,ACVR2A,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,LGALS9,CD44,1.0,CD44,0.0,0.0,6.0,COAD;ESCA;KICH;KIRC;KIRP;THCA,6.0,False,False,0.0,7.0,False,False
102,98,LGALS9,HAVCR2,1.0,HAVCR2,0.0,0.0,2.0,KIRC;KIRP,2.0,False,False,0.0,2.0,False,False
102,98,LGALS9,PTPRC,1.0,PTPRC,0.0,0.0,3.0,KIRC;KIRP;STAD,3.0,False,False,0.0,3.0,False,False
102,98,MDK,ALK,1.0,ALK,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,MDK,ITGA4_ITGB1,2.0,ITGA4;ITGB1,1.0,0.0,2.0,KIRC;STAD,3.0,False,False,0.0,3.0,False,False
102,98,MDK,ITGA6_ITGB1,2.0,ITGA6;ITGB1,1.0,0.0,2.0,HNSC;STAD,9.0,False,False,0.0,7.0,False,False
102,98,MDK,LRP1,1.0,LRP1,0.0,0.0,1.0,KIRC,1.0,False,False,0.0,2.0,False,False
102,98,MDK,NCL,1.0,NCL,0.0,0.0,5.0,COAD;ESCA;LUAD;LUSC;STAD,5.0,False,False,0.0,9.0,False,False
102,98,MDK,PTPRZ1,1.0,PTPRZ1,0.0,0.0,2.0,HNSC;LUSC,2.0,False,False,0.0,2.0,False,False
102,98,MDK,SDC1,1.0,SDC1,0.0,0.0,6.0,BRCA;ESCA;LUAD;LUSC;THCA;UCEC,6.0,False,False,0.0,6.0,False,False
102,98,MDK,SDC2,1.0,SDC2,0.0,0.0,1.0,KICH,1.0,False,False,0.0,1.0,False,False
102,98,MDK,SDC4,1.0,SDC4,0.0,0.0,4.0,COAD;KICH;THCA;UCEC,4.0,False,False,0.0,6.0,False,False
102,98,MSTN,ACVR1B_ACVR2A,2.0,ACVR1B;ACVR2A,1.0,0.0,0.0,,3.0,False,False,0.0,2.0,False,False
102,98,MSTN,ACVR1B_ACVR2B,2.0,ACVR1B;ACVR2B,1.0,0.0,0.0,,3.0,False,False,0.0,2.0,False,False
102,98,MSTN,TGFBR1_ACVR2A,2.0,ACVR2A;TGFBR1,1.0,0.0,0.0,,2.0,False,False,0.0,1.0,False,False
102,98,MSTN,TGFBR1_ACVR2B,2.0,ACVR2B;TGFBR1,1.0,0.0,0.0,,2.0,False,False,0.0,6.0,False,False
102,98,NPPA,NPR1,1.0,NPR1,0.0,1.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,NPPB,NPR1,1.0,NPR1,0.0,1.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,NRG1,ERBB2_ERBB3,2.0,ERBB2;ERBB3,1.0,0.0,5.0,BLCA;BRCA;LUAD;THCA;UCEC,9.0,False,False,0.0,6.0,False,False
102,98,NRG1,ERBB2_ERBB4,2.0,ERBB2;ERBB4,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,NRG1,ERBB3,1.0,ERBB3,0.0,0.0,9.0,BLCA;BRCA;KIRC;KIRP;LIHC;LUAD;PRAD;THCA;UCEC,9.0,False,False,0.0,10.0,False,False
102,98,NRG1,ERBB4,1.0,ERBB4,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,NRG1,ITGAV_ITGB3,2.0,ITGAV;ITGB3,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,NTF3,NTRK1,1.0,NTRK1,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,NTF3,NTRK2,1.0,NTRK2,0.0,0.0,1.0,LUSC,1.0,False,False,0.0,1.0,False,False
102,98,NTF3,NTRK3,1.0,NTRK3,0.0,0.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,PDGFD,PDGFRB,1.0,PDGFRB,0.0,0.0,5.0,COAD;HNSC;KIRC;LIHC;STAD,5.0,False,False,0.0,6.0,False,False
102,98,POSTN,ITGAV_ITGB3,2.0,ITGAV;ITGB3,1.0,0.0,0.0,,5.0,False,False,0.0,0.0,False,False
102,98,POSTN,ITGAV_ITGB5,2.0,ITGAV;ITGB5,1.0,0.0,2.0,HNSC;LUSC,6.0,False,False,0.0,5.0,False,False
102,98,PROS1,AXL,1.0,AXL,0.0,0.0,3.0,HNSC;KIRC;KIRP,3.0,False,False,0.0,4.0,False,False
102,98,PROS1,TYRO3,1.0,TYRO3,0.0,0.0,2.0,BLCA;LUSC,2.0,False,False,0.0,2.0,False,False
102,98,PTN,ALK,1.0,ALK,0.0,1.0,0.0,,0.0,False,False,0.0,0.0,False,False
102,98,PTN,ITGAV_ITGB3,2.0,ITGAV;ITGB3,1.0,1.0,0.0,,5.0,False,True,1.0,0.0,False,True
102,98,PTN,NCL,1.0,NCL,0.0,1.0,5.0,COAD;ESCA;LUAD;LUSC;STAD,5.0,True,True,1.0,9.0,True,False
102,98,PTN,PTPRZ1,1.0,PTPRZ1,0.0,1.0,2.0,HNSC;LUSC,2.0,True,True,1.0,2.0,True,False
102,98,PTN,SDC1,1.0,SDC1,0.0,1.0,6.0,BRCA;ESCA;LUAD;LUSC;THCA;UCEC,6.0,True,True,1.0,6.0,True,False
102,98,PTN,SDC2,1.0,SDC2,0.0,1.0,1.0,KICH,1.0,True,True,1.0,1.0,True,False
102,98,PTN,SDC3,1.0,SDC3,0.0,1.0,4.0,HNSC;KIRC;KIRP;THCA,4.0,True,True,1.0,4.0,True,False
102,98,PTN,SDC4,1.0,SDC4,0.0,1.0,4.0,COAD;KICH;THCA;UCEC,4.0,True,True,1.0,6.0,True,False
102,98,SEMA3B,NRP1_PLXNA1,2.0,NRP1;PLXNA1,1.0,0.0,3.0,HNSC;KIRC;STAD,11.0,False,False,0.0,6.0,False,False
102,98,SEMA3B,NRP1_PLXNA2,2.0,NRP1;PLXNA2,1.0,0.0,1.0,KIRC,4.0,False,False,0.0,2.0,False,False
