gene_symbol,log2FC,t,p_value,fdr,mean_expr,n_case,n_ctrl,log2FC_icm,fdr_icm,log2FC_nicm,fdr_nicm,gse,platform,technology,log_scale_branch,probe_collapse_method
UBE2Z,0.046502515798341304,1.05178828873942,0.294084229493212,0.5655162407020623,8.313096449538092,194,16,0.039718430715276636,0.6782563186881009,0.055022064507265114,0.4874626234138492,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
DHRS2,-0.05793158681571964,-1.0516594729055166,0.2941432099820207,0.5655162407020623,6.14251893199524,194,16,-0.028256415699067138,0.8182413840005932,-0.09519808077618161,0.27220293179581967,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BANP,-0.07982074802774253,-1.0514597615162073,0.2942346669789781,0.5655162407020623,6.537641049961906,194,16,-0.0664600504467537,0.6884158630148975,-0.09659929847821389,0.4064119449615647,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
FBXO34,-0.04966663392717534,-1.0514580858333389,0.29423543443216543,0.5655162407020623,7.506106300500003,194,16,-0.05280547046528315,0.5792917263203492,-0.04572483920494376,0.5996836940170112,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
NKRF,-0.05084587027642298,-1.0514315845467814,0.29424757204982527,0.5655162407020623,5.141202099104761,194,16,-0.05778066532173644,0.5580237079647488,-0.042137057893890925,0.629369259137726,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SLC16A10,-0.032548820376274525,-1.0510738343090702,0.2944114551257689,0.5656873683206313,5.80542252574762,194,16,-0.026007325324078536,0.6976879600698883,-0.04076372113953778,0.4789323517599387,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
MCM3AP,-0.08574049773843662,-1.0510396714886865,0.2944271081156893,0.5656873683206313,7.0305995487380955,194,16,-0.07348686578241419,0.6837386458519746,-0.10112877972965205,0.43798050731298266,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
ZNF142,-0.06107712573323398,-1.050782876199555,0.2945447865848521,0.5657935117535997,6.769175207185711,194,16,-0.05689139225463194,0.659943405510118,-0.06633362824127524,0.49402929743240936,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
RPAP1,0.05184840851868323,1.050721612645969,0.29457286578180936,0.5657935117535997,7.518685080771429,194,16,0.051128390081013726,0.6298983077163638,0.05275261771948374,0.5294750360062264,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
HCFC1,0.04715776601865709,1.050484073281604,0.2946817553381426,0.5659058552085937,8.179187148557144,194,16,0.05668547649766333,0.5083137822711309,0.03519273425435274,0.7058127419505409,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
SSTR1,-0.05411634627705595,-1.0503965435788662,0.29472188635923485,0.5659058552085937,4.3762589667904725,194,16,-0.05537927497685758,0.5159814496811953,-0.05253034279359896,0.6348836843545305,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
BARD1,-0.08018062809729473,-1.0497563888315902,0.29501549957826234,0.5662733946259632,5.048707881076191,194,16,-0.03327632605787949,0.8701162800726562,-0.13908370507704007,0.1143582117177985,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
CLASP2,0.11336358005603155,1.0496850136102822,0.2950482487439304,0.5662733946259632,6.5459215659714305,194,16,0.10066302357639006,0.6606526557843467,0.12931311610027602,0.49936318933966256,GSE5406,GPL96,Affymetrix HG-U133A microarray,logged:max_le_30,max_mean
