gene,gencodeId,tissue,median_tpm
FGF1,ENSG00000113578.17,Colon_Sigmoid,2.67916
FGF1,ENSG00000113578.17,Colon_Transverse,0.912467
FGF1,ENSG00000113578.17,Esophagus_Gastroesophageal_Junction,1.97062
FGF1,ENSG00000113578.17,Esophagus_Mucosa,0.9012040000000001
FGF1,ENSG00000113578.17,Esophagus_Muscularis,2.30933
FGF1,ENSG00000113578.17,Fallopian_Tube,0.99908
FGF1,ENSG00000113578.17,Heart_Atrial_Appendage,9.02414
FGF1,ENSG00000113578.17,Heart_Left_Ventricle,9.50512
FGF1,ENSG00000113578.17,Kidney_Cortex,37.9563
FGF1,ENSG00000113578.17,Kidney_Medulla,8.99564
FGF1,ENSG00000113578.17,Liver,0.230046
FGF1,ENSG00000113578.17,Lung,1.53912
FGF1,ENSG00000113578.17,Minor_Salivary_Gland,2.76321
FGF1,ENSG00000113578.17,Muscle_Skeletal,0.71645
FGF1,ENSG00000113578.17,Nerve_Tibial,122.208
FGF1,ENSG00000113578.17,Ovary,0.44749700000000003
FGF1,ENSG00000113578.17,Pancreas,0.141204
FGF1,ENSG00000113578.17,Pituitary,8.029689999999999
FGF1,ENSG00000113578.17,Prostate,1.28718
FGF1,ENSG00000113578.17,Skin_Not_Sun_Exposed_Suprapubic,0.835498
FGF1,ENSG00000113578.17,Skin_Sun_Exposed_Lower_leg,0.852899
FGF1,ENSG00000113578.17,Small_Intestine_Terminal_Ileum,0.48817
FGF1,ENSG00000113578.17,Spleen,1.9062599999999998
FGF1,ENSG00000113578.17,Stomach,0.333955
FGF1,ENSG00000113578.17,Testis,1.32281
FGF1,ENSG00000113578.17,Thyroid,2.29332
FGF1,ENSG00000113578.17,Uterus,1.4683
FGF1,ENSG00000113578.17,Vagina,0.833275
FGF1,ENSG00000113578.17,Whole_Blood,0.0466193
PROS1,ENSG00000184500.14,Adipose_Subcutaneous,50.6253
PROS1,ENSG00000184500.14,Adipose_Visceral_Omentum,40.5307
PROS1,ENSG00000184500.14,Adrenal_Gland,10.5623
PROS1,ENSG00000184500.14,Artery_Aorta,164.188
PROS1,ENSG00000184500.14,Artery_Coronary,94.2278
PROS1,ENSG00000184500.14,Artery_Tibial,59.391000000000005
PROS1,ENSG00000184500.14,Bladder,21.3602
PROS1,ENSG00000184500.14,Brain_Amygdala,3.95535
PROS1,ENSG00000184500.14,Brain_Anterior_cingulate_cortex_BA24,3.91325
PROS1,ENSG00000184500.14,Brain_Caudate_basal_ganglia,5.496
PROS1,ENSG00000184500.14,Brain_Cerebellar_Hemisphere,1.61913
PROS1,ENSG00000184500.14,Brain_Cerebellum,1.59368
PROS1,ENSG00000184500.14,Brain_Cortex,3.5503
PROS1,ENSG00000184500.14,Brain_Frontal_Cortex_BA9,4.24559
PROS1,ENSG00000184500.14,Brain_Hippocampus,4.59825
PROS1,ENSG00000184500.14,Brain_Hypothalamus,5.80471
PROS1,ENSG00000184500.14,Brain_Nucleus_accumbens_basal_ganglia,5.2507
PROS1,ENSG00000184500.14,Brain_Putamen_basal_ganglia,4.02792
PROS1,ENSG00000184500.14,Brain_Spinal_cord_cervical_c-1,6.4737800000000005
PROS1,ENSG00000184500.14,Brain_Substantia_nigra,4.18631
PROS1,ENSG00000184500.14,Breast_Mammary_Tissue,39.5535
PROS1,ENSG00000184500.14,Cells_Cultured_fibroblasts,65.111
PROS1,ENSG00000184500.14,Cells_EBV-transformed_lymphocytes,0.11433299999999999
PROS1,ENSG00000184500.14,Cervix_Ectocervix,25.7289
PROS1,ENSG00000184500.14,Cervix_Endocervix,32.3583
PROS1,ENSG00000184500.14,Colon_Sigmoid,22.4587
PROS1,ENSG00000184500.14,Colon_Transverse,16.6587
PROS1,ENSG00000184500.14,Esophagus_Gastroesophageal_Junction,35.9018
PROS1,ENSG00000184500.14,Esophagus_Mucosa,14.5755
PROS1,ENSG00000184500.14,Esophagus_Muscularis,35.2461
PROS1,ENSG00000184500.14,Fallopian_Tube,39.4315
PROS1,ENSG00000184500.14,Heart_Atrial_Appendage,41.4488
PROS1,ENSG00000184500.14,Heart_Left_Ventricle,16.7417
PROS1,ENSG00000184500.14,Kidney_Cortex,17.2628
PROS1,ENSG00000184500.14,Kidney_Medulla,13.2726
PROS1,ENSG00000184500.14,Liver,83.2325
PROS1,ENSG00000184500.14,Lung,42.6549
PROS1,ENSG00000184500.14,Minor_Salivary_Gland,17.7363
PROS1,ENSG00000184500.14,Muscle_Skeletal,2.9184400000000004
PROS1,ENSG00000184500.14,Nerve_Tibial,167.53099999999998
PROS1,ENSG00000184500.14,Ovary,48.8307
PROS1,ENSG00000184500.14,Pancreas,3.14284
PROS1,ENSG00000184500.14,Pituitary,12.675999999999998
PROS1,ENSG00000184500.14,Prostate,14.0802
PROS1,ENSG00000184500.14,Skin_Not_Sun_Exposed_Suprapubic,22.4541
PROS1,ENSG00000184500.14,Skin_Sun_Exposed_Lower_leg,31.248
PROS1,ENSG00000184500.14,Small_Intestine_Terminal_Ileum,20.059
PROS1,ENSG00000184500.14,Spleen,14.9879
PROS1,ENSG00000184500.14,Stomach,7.65791
PROS1,ENSG00000184500.14,Testis,7.8815800000000005
PROS1,ENSG00000184500.14,Thyroid,32.7928
PROS1,ENSG00000184500.14,Uterus,31.1867
PROS1,ENSG00000184500.14,Vagina,26.4423
PROS1,ENSG00000184500.14,Whole_Blood,0.7525930000000001
PDGFD,ENSG00000170962.12,Adipose_Subcutaneous,31.2564
PDGFD,ENSG00000170962.12,Adipose_Visceral_Omentum,21.3645
PDGFD,ENSG00000170962.12,Adrenal_Gland,111.01899999999999
PDGFD,ENSG00000170962.12,Artery_Aorta,132.077
PDGFD,ENSG00000170962.12,Artery_Coronary,69.5455
PDGFD,ENSG00000170962.12,Artery_Tibial,31.9338
PDGFD,ENSG00000170962.12,Bladder,10.6761
PDGFD,ENSG00000170962.12,Brain_Amygdala,0.706244
PDGFD,ENSG00000170962.12,Brain_Anterior_cingulate_cortex_BA24,0.792876
PDGFD,ENSG00000170962.12,Brain_Caudate_basal_ganglia,1.36474
PDGFD,ENSG00000170962.12,Brain_Cerebellar_Hemisphere,0.195331
PDGFD,ENSG00000170962.12,Brain_Cerebellum,0.21657800000000002
PDGFD,ENSG00000170962.12,Brain_Cortex,0.972607
PDGFD,ENSG00000170962.12,Brain_Frontal_Cortex_BA9,0.979434
PDGFD,ENSG00000170962.12,Brain_Hippocampus,0.421962
PDGFD,ENSG00000170962.12,Brain_Hypothalamus,2.01472
PDGFD,ENSG00000170962.12,Brain_Nucleus_accumbens_basal_ganglia,0.836044
PDGFD,ENSG00000170962.12,Brain_Putamen_basal_ganglia,1.03884
PDGFD,ENSG00000170962.12,Brain_Spinal_cord_cervical_c-1,0.712296
PDGFD,ENSG00000170962.12,Brain_Substantia_nigra,0.203544
PDGFD,ENSG00000170962.12,Breast_Mammary_Tissue,26.8331
PDGFD,ENSG00000170962.12,Cells_Cultured_fibroblasts,10.6754
PDGFD,ENSG00000170962.12,Cells_EBV-transformed_lymphocytes,0.187124
PDGFD,ENSG00000170962.12,Cervix_Ectocervix,20.1895
PDGFD,ENSG00000170962.12,Cervix_Endocervix,14.4932
PDGFD,ENSG00000170962.12,Colon_Sigmoid,6.30735
PDGFD,ENSG00000170962.12,Colon_Transverse,5.67047
PDGFD,ENSG00000170962.12,Esophagus_Gastroesophageal_Junction,7.483510000000001
PDGFD,ENSG00000170962.12,Esophagus_Mucosa,0.983344
PDGFD,ENSG00000170962.12,Esophagus_Muscularis,3.62425
PDGFD,ENSG00000170962.12,Fallopian_Tube,11.1711
PDGFD,ENSG00000170962.12,Heart_Atrial_Appendage,15.1553
PDGFD,ENSG00000170962.12,Heart_Left_Ventricle,7.118589999999999
PDGFD,ENSG00000170962.12,Kidney_Cortex,4.22112
PDGFD,ENSG00000170962.12,Kidney_Medulla,4.9589300000000005
PDGFD,ENSG00000170962.12,Liver,0.830297
PDGFD,ENSG00000170962.12,Lung,3.94219
PDGFD,ENSG00000170962.12,Minor_Salivary_Gland,12.565
PDGFD,ENSG00000170962.12,Muscle_Skeletal,0.919959
