axis,ligand,receptor_subunit,ligand_class,A1_pass,min_log2FC,A2_pass,min_ratio_GAPDH,A3_pass,best_heart_rank,top_tissue,ligand_passes_corrected,receptor_enriched_in_adjnormal,n_enriched_adjnormal,receptor_passes,survives_both_corrected,ligand_cardiac_enriched_original,survives_both_original,receptor_enriched_in_gtexrank,n_enriched_gtexrank,survives_both_sensitivity_gtexrank
IGF1->IGF1R,IGF1,IGF1R,cardiac-expressed-but-not-enriched,False,0.252211911842421,False,0.0033389808598972884,True,22.0,Cervix_Endocervix,False,HNSC;KICH;LUSC,3,True,False,False,False,BRCA;CESC;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LUAD;LUSC;MESO;PCPG;PRAD;SARC;SKCM;TGCT;THCA;UCEC;UCS;UVM,22,False
IGF1->ITGA6,IGF1,ITGA6,cardiac-expressed-but-not-enriched,False,0.252211911842421,False,0.0033389808598972884,True,22.0,Cervix_Endocervix,False,COAD;ESCA;HNSC;KICH;LIHC;LUSC;STAD;THCA,8,True,False,False,False,ACC;BLCA;CHOL;ESCA;KICH;LIHC;LUSC;OV;PCPG;READ,10,False
IGF1->ITGAV,IGF1,ITGAV,cardiac-expressed-but-not-enriched,False,0.252211911842421,False,0.0033389808598972884,True,22.0,Cervix_Endocervix,False,COAD;HNSC;LUAD;LUSC;STAD,5,True,False,False,False,BRCA;CHOL;COAD;ESCA;GBM;KICH;LGG;LIHC;LUSC;PAAD;PRAD,11,False
IGF1->ITGB3,IGF1,ITGB3,cardiac-expressed-but-not-enriched,False,0.252211911842421,False,0.0033389808598972884,True,22.0,Cervix_Endocervix,False,,0,False,False,False,False,SKCM,1,False
IGF1->ITGB4,IGF1,ITGB4,cardiac-expressed-but-not-enriched,False,0.252211911842421,False,0.0033389808598972884,True,22.0,Cervix_Endocervix,False,BLCA;ESCA;HNSC;KIRP;LUAD;LUSC;STAD;THCA,8,True,False,False,False,BLCA;CHOL;KIRP;LUAD;LUSC;MESO;OV;PAAD;TGCT;THCA;UCEC,11,False
IGF2->IGF1R,IGF2,IGF1R,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,HNSC;KICH;LUSC,3,True,False,False,False,BRCA;CESC;CHOL;COAD;ESCA;HNSC;KICH;KIRC;KIRP;LGG;LUAD;LUSC;MESO;PCPG;PRAD;SARC;SKCM;TGCT;THCA;UCEC;UCS;UVM,22,False
IGF2->IGF2R,IGF2,IGF2R,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,THCA,1,True,False,False,False,ACC;BLCA;BRCA;CESC;COAD;ESCA;GBM;HNSC;KICH;KIRC;KIRP;LGG;LIHC;LUAD;LUSC;MESO;OV;PAAD;PCPG;PRAD;READ;SARC;SKCM;STAD;TGCT;THCA;UCEC;UCS;UVM,29,False
IGF2->ITGA6,IGF2,ITGA6,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,COAD;ESCA;HNSC;KICH;LIHC;LUSC;STAD;THCA,8,True,False,False,False,ACC;BLCA;CHOL;ESCA;KICH;LIHC;LUSC;OV;PCPG;READ,10,False
IGF2->ITGAV,IGF2,ITGAV,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,COAD;HNSC;LUAD;LUSC;STAD,5,True,False,False,False,BRCA;CHOL;COAD;ESCA;GBM;KICH;LGG;LIHC;LUSC;PAAD;PRAD,11,False
IGF2->ITGB3,IGF2,ITGB3,cardiac-expressed-but-not-enriched,False,0.4403185125005958,True,0.02213287292115432,True,14.0,Adipose_Visceral_Omentum,False,,0,False,False,False,False,SKCM,1,False
