receptor,tumor_type,gtex_tissue,tumor_rank_metric,normal_rank_metric,delta_percentile,panel_background_shift,delta_percentile_bg_corrected,direction_gtex_rank,tumor_median_rsem,normal_median_tpm,passes_tcga_floor_in_type,mapping_quality,max_ligand_availability,in_top_ligand_axis,caveat,n_tcga_adjacent_normals,adjnormal_median_rsem,log2FC_tumor_vs_adjnormal,log2FC_bg_corrected_within_tcga,cliffs_delta,fdr_within_tcga,direction_within_tcga,consensus_direction,direction
TNFRSF12A,LUAD,Lung,85.79,89.63,-3.84,0.8,-4.64,comparable,1519.12,95.1031,True,good,0.2206,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,909.81,0.739,0.8657,0.2908,0.00048824759533866327,enriched,comparable/enriched (partial),comparable
TNFRSF1A,LUAD,Lung,91.81,93.91,-2.1,0.8,-2.9,comparable,3272.85,157.058,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,3347.68,-0.0326,0.0941,-0.0455,0.6105201309715171,comparable,comparable (both methods agree),comparable
TNFRSF1B,LUAD,Lung,83.68,90.21,-6.53,0.8,-7.32,comparable,1278.59,100.357,True,good,0.5089,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,58.0,1960.33,-0.6161,-0.4894,-0.5341,9.028276356646645e-11,comparable,comparable (both methods agree),comparable
TYRO3,LUAD,Lung,60.48,51.56,8.92,0.8,8.12,comparable,242.24,5.9911,False,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,58.0,236.32,0.0356,0.1623,0.0234,0.79729680266742,comparable,comparable (both methods agree),comparable
ACKR1,LUSC,Lung,49.46,91.08,-41.62,0.8,-42.42,depleted,94.44,116.645,False,good,1.5915,True,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,,,,,,,,depleted (GTEx rank only),depleted
ACVR1,LUSC,Lung,81.0,68.31,12.69,0.8,11.89,enriched,1074.8,21.1632,True,good,0.68,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,51.0,896.14,0.262,0.5442,0.3338,0.0001596755115582636,enriched,enriched (both methods agree),enriched
ACVR1B,LUSC,Lung,82.67,70.56,12.11,0.8,11.31,enriched,1263.59,23.3993,True,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,51.0,1016.46,0.3137,0.5959,0.3591,4.762190787248244e-05,enriched,enriched (both methods agree),enriched
ACVR2A,LUSC,Lung,65.12,54.17,10.95,0.8,10.15,enriched,321.6,7.6499,False,good,1.1147,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,51.0,320.58,0.0046,0.2868,0.0842,0.3663421145772239,comparable,enriched/comparable (partial),enriched
ACVR2B,LUSC,Lung,60.55,42.35,18.2,0.8,17.4,enriched,242.06,2.8249,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,51.0,196.51,0.2994,0.5816,0.339,0.00012621285869602854,enriched,enriched (both methods agree),enriched
AGTR1,LUSC,Lung,29.66,61.2,-31.54,0.8,-32.34,depleted,9.5,12.9574,False,good,0.1766,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,51.0,171.53,-4.0377,-3.7555,-0.9743,5.445890305175717e-29,depleted,depleted (both methods agree),depleted
AXL,LUSC,Lung,76.36,81.94,-5.58,0.8,-6.38,comparable,772.26,46.465,True,good,0.5985,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,51.0,2300.69,-1.5737,-1.2915,-0.8351,9.578082222639538e-22,depleted,comparable/depleted (partial),comparable
BMPR1A,LUSC,Lung,69.47,53.73,15.74,0.8,14.94,enriched,464.61,7.435,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,51.0,594.57,-0.3551,-0.0729,-0.435,7.141068107866361e-07,comparable,enriched/comparable (partial),enriched
BMPR1B,LUSC,Lung,44.89,32.27,12.62,0.8,11.82,enriched,58.15,1.1748,False,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change; below TCGA expression floor in this tumor type,51.0,128.15,-1.1267,-0.8445,-0.3308,0.00018310030463950712,depleted,discordant,enriched
BMPR2,LUSC,Lung,86.58,81.65,4.93,0.8,4.13,comparable,1758.29,45.106,True,good,0.6472,False,rank-based comparison of TCGA RSEM vs GTEx TPM within a shared 1379-gene panel; not a fold change,51.0,4672.41,-1.4095,-1.1273,-0.9338,8.416106751561723e-27,depleted,comparable/depleted (partial),comparable
