gene,matched_family,matched_pattern,hpa_supports_extracellular,hpa_protein_class,hpa_secretome_location,excluded,reason
COL15A1,collagen,^COL\d+[A-Z]\d*$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL16A1,collagen,^COL\d+[A-Z]\d*$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL17A1,collagen,^COL\d+[A-Z]\d*$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL18A1,collagen,^COL\d+[A-Z]\d*$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL19A1,collagen,^COL\d+[A-Z]\d*$,True,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL1A1,collagen,^COL\d+[A-Z]\d*$,True,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL1A2,collagen,^COL\d+[A-Z]\d*$,True,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL20A1,collagen,^COL\d+[A-Z]\d*$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL21A1,collagen,^COL\d+[A-Z]\d*$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL22A1,collagen,^COL\d+[A-Z]\d*$,True,"Predicted intracellular proteins, Predicted secreted proteins",Secreted to extracellular matrix,True,structural ECM family collagen + HPA extracellular support
COL23A1,collagen,^COL\d+[A-Z]\d*$,False,Predicted intracellular proteins,,False,family collagen matched but HPA gives no secreted/ECM support; kept
