gene,gene_symbol,log2FC_discovery,fdr_discovery,log2FC_validation,fdr_validation,direction,combined_z,min_abs_log2FC
ENSG00000102032,RENBP,0.258033571922107,0.037476884585251044,0.4232782898703751,4.815019888846736e-05,up,4.757003181603466,0.258033571922107
ENSG00000167272,POP5,0.2252511773494702,0.005571549052504737,0.20582625173768246,0.0008392194003677426,up,4.756080054073058,0.20582625173768246
ENSG00000243753,HLA-L,1.0078331465496122,0.018019293652670236,0.36019779079917824,0.00016983968714031803,up,4.7543233031111924,0.36019779079917824
ENSG00000104960,PTOV1,0.3317086740840976,0.0017912533766252408,0.30954134536736194,0.003051611164578476,up,4.750629924657695,0.30954134536736194
ENSG00000113263,ITK,0.3181035164229724,0.03788405390642178,0.5547912097144543,4.8993037364797844e-05,up,4.750629698037255,0.3181035164229724
ENSG00000165475,CRYL1,0.2273945465936283,0.014557254367948726,0.1612185187633995,0.0002403499399131325,up,4.749335695281578,0.1612185187633995
ENSG00000255160,RP11-428C19.5,0.46609230040918953,0.020845651396247722,0.5195145964109393,0.0001396157933525714,up,4.7484781955682145,0.46609230040918953
ENSG00000069696,DRD4,0.43767174670692094,0.015145757627110429,0.5789651516729578,0.00022800140084281982,up,4.748390361168349,0.43767174670692094
ENSG00000070770,CSNK2A2,-0.28371874207125886,0.0022645110917630337,-0.07723749772187638,0.002478546217842223,down,-4.742736753590877,0.07723749772187638
ENSG00000088280,ASAP3,-0.2690374886204927,0.046330491883161115,-0.14850313185217523,3.536304801996699e-05,down,-4.741146758333776,0.14850313185217523
ENSG00000007341,ST7L,-0.2600761952358846,0.009469340139225806,-0.08660084495131046,0.0004624294609609432,down,-4.740060189488208,0.08660084495131046
ENSG00000138764,CCNG2,0.7427505077020744,0.0001403605812751532,0.19102967622221922,0.025234555243342765,up,4.73911005906216,0.19102967622221922
ENSG00000198246,SLC29A3,0.2715138489445373,0.020575362404756964,0.27798794308377284,0.0001527100058685136,up,4.736397178045726,0.2715138489445373
ENSG00000134504,KCTD1,-0.347494676795252,0.01405107467480497,-0.15886726269071752,0.0002717280255525619,down,-4.736217623715681,0.15886726269071752
ENSG00000136051,KIAA1033,-0.262016568044349,0.03785279696670065,-0.36148506296002775,5.5266290403957164e-05,down,-4.730732163367764,0.262016568044349
ENSG00000048544,MRPS10,-0.15943836235271922,0.04505642083651604,-0.13009673747123365,3.988494129452724e-05,down,-4.730371525817493,0.13009673747123365
ENSG00000169045,HNRNPH1,-0.27670893025738874,0.00604099582139877,-0.18332916547039013,0.0008723381362003336,down,-4.7284738266829525,0.18332916547039013
ENSG00000140265,ZSCAN29,-0.22885895411192386,0.0025026408352247713,-0.2024202974477644,0.002380135860496935,down,-4.7280620919949445,0.2024202974477644
ENSG00000147124,ZNF41,-0.30613707437869064,0.001231058340254565,-0.31198222471100884,0.004905874326811434,down,-4.726062686143721,0.30613707437869064
ENSG00000168894,RNF181,0.3395444366102645,8.63352003439978e-05,0.16636059741200412,0.036126381890005506,up,4.726028245392251,0.16636059741200412
ENSG00000141959,PFKL,0.6194153278423646,0.014774247207830698,0.3577650294297117,0.0002693565411604411,up,4.724193566379199,0.3577650294297117
ENSG00000108375,RNF43,-0.32449858729452224,0.018399125426543168,-0.25716578719913274,0.00019650714931819562,down,-4.72229507122247,0.25716578719913274
ENSG00000215271,HOMEZ,-0.23615660618839163,0.007384128213290052,-0.09820450942341412,0.0007071877925754642,down,-4.720253044030611,0.09820450942341412
ENSG00000187653,TMSB4XP8,0.5411427833744586,0.0013025073708062428,0.27053215572954137,0.004824886305335803,up,4.717409015524093,0.27053215572954137
ENSG00000168273,SMIM4,0.40702829093975373,0.0005756899103970788,0.25499777461273193,0.009795725157763042,up,4.716905094706436,0.25499777461273193
ENSG00000008086,CDKL5,-0.3351266910291747,0.049951102388317986,-0.9973026817779045,3.617157999348002e-05,down,-4.713648914821823,0.3351266910291747
ENSG00000172006,ZNF554,0.259695824210602,0.0001327104729159964,0.0885510129547925,0.028717154202398076,up,4.712466930306047,0.0885510129547925
ENSG00000121653,MAPK8IP1,0.2165491378903733,0.039129708136062376,0.3317952198503405,5.8010397921164046e-05,up,4.712335649311941,0.2165491378903733
ENSG00000155158,TTC39B,0.23737725911589502,0.013132902685388623,0.2517803456944067,0.0003437503611512509,up,4.710142739330255,0.23737725911589502
ENSG00000164114,MAP9,-0.3500714920198136,0.006947632120179213,-0.25050820667142126,0.0008054944211939883,down,-4.7094413021320864,0.25050820667142126
ENSG00000105707,HPN,0.3496782068825236,0.026525013053407317,0.44088521705162675,0.0001182069838669288,up,4.707542193265931,0.3496782068825236
ENSG00000225032,RP11-228B15.4,0.6454958358801983,0.0002363550708474592,0.2039376919764703,0.019915831346706266,up,4.70611890046948,0.2039376919764703
ENSG00000205209,SCGB2B2,0.27317614381686733,0.008634987471248672,0.2063234174956317,0.0006247602149347148,up,4.705054702443006,0.2063234174956317
